coefs|output|text
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt01.npy|utt01_prediction.wav|wash face and hands
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt02.npy|utt02_prediction.wav|at warwick for eight years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt03.npy|utt03_prediction.wav|flings himself on the ground
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt04.npy|utt04_prediction.wav|that is not only my accusation
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt05.npy|utt05_prediction.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt06.npy|utt06_prediction.wav|with respect to industry and business
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt07.npy|utt07_prediction.wav|and i am sure it had quite an effect on him
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt08.npy|utt08_prediction.wav|at fourteen he was a pickpocket and a duffer
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt09.npy|utt09_prediction.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/realtgts/utt10.npy|utt10_prediction.wav|the secret service depends largely on local police departments and local offices of other federal agencies
